key,fr,en
common_undefined,Non renseigné,Not defined
common_see,Voir,See
common_fields_name,Nom,Name
common_fields_state,État,State
common_fields_type,Type,Type
common_fields_description,Description,Description
common_fields_color,Couleur,Color
common_fields_category,Catégorie,Category
common_fields_country,Pays,Country
common_fields_city,Ville,City
common_fields_datetime,Date et heure,Datetime

navigation_first_page,Première page,First page
navigation_last_page,Dernière page,Last page
navigation_previous_page,Page précédente,Previous page
navigation_next_page,Page suivante,Next page

home_title,Accueil,Home

geographical_references_title,Références géographiques,Geographical references

geographical_references_cadastral_parcel_title,Parcelles cadastrales,Cadastral parcels
geographical_references_cadastral_parcel_town_insee_code,Code INSEE de la commune,Town INSEE code
geographical_references_cadastral_parcel_section_prefix,Préfixe de section,Section prefix
geographical_references_cadastral_parcel_section,Section,Section
geographical_references_cadastral_parcel_work_number,Numéro,Number

geographical_references_cap_parcel_title,Parcelles enregistrées à la PAC,CAP registered parcels
geographical_references_cap_parcel_culture,Culture,Culture

geographical_references_postal_code_title,Codes postaux,Postal codes
geographical_references_postal_code_code,Code postal,Postal code
geographical_references_postal_code_city,Ville,City
geographical_references_postal_code_city_code,Code commune,City code


phytosanitary_title,Phytosanitaire,Phytosanitary

phytosanitary_cropset_title,Ensembles de cultures,Crop sets
phytosanitary_cropset_crops,Cultures,Crops

phytosanitary_product_title,Produits,Products
pytosanitary_product_firm,Firme,firm
phytosanitary_product_active_compounds,Principes actifs,Active compounds
pytosanitary_product_state,État d'usage,Usage state
pytosanitary_product_state_inherited,Hérité,Inherited
pytosanitary_product_state_withdrawn,Retrait,Withdrawn
pytosanitary_product_state_authorized,Autorisé,Authorized

phytosanitary_symbol_title,Symboles,Symbols
phytosanitary_symbol_code,Code,Code
phytosanitary_symbol_mention,Mention danger,Danger mention
phytosanitary_symbol_pictogram_code,Code pictogramme,Pictogram code

viticulture_title,Viticulture,Viticulture

viticulture_phenological_stage_title,Stades phénologiques,Phenological stages
viticulture_phenological_stage_bbch,BBCH,BBCH
viticulture_phenological_stage_biaggiolini,Échelle de Biaggiolini,Biaggiolini scale
viticulture_phenological_stage_eicchorn_lorenz,Échelle de Eichhorn et Lorenz,Eichhorn and Lorenz scale 

viticulture_vine_variety_title,Variétés de vignes,Vine varieties
viticulture_vine_variety_color_black,Noire,Black
viticulture_vine_variety_color_white,Blanche,White
viticulture_vine_variety_color_grey,Grise,Grey
viticulture_vine_variety_color_red,Rouge,Red
viticulture_vine_variety_color_pink,Rose,Pink
viticulture_vine_variety_category_variety,Variété,Variety
viticulture_vine_variety_category_rootstock,Porte-greffe,Rootstock
viticulture_vine_variety_category_hybrid,Hybride,Hybrid
viticulture_vine_variety_utilities,Usages,Utilities
viticulture_vine_variety_utility_wine,Vin,Wine
viticulture_vine_variety_utility_juice,Jus,Juice
viticulture_vine_variety_utility_table,Table,Table
viticulture_vine_variety_utility_certified,Certifié,Certified

weather_title,Météorologie,Weather
weather_station_title,Stations météorologiques,Weather stations
weather_station_code,Code station,Station code
weather_station_elevation,Élévation,Elevation
weather_station_hourly_reports,Relevés horaires,Hourly reports
weather_station_hourly_report_temperature_min,Température min.,Min temperature
weather_station_hourly_report_temperature_max,Température max.,Max temperature
weather_station_hourly_report_humidity,Humidité,Humidity
weather_station_hourly_report_rain,Précipitations,Rain
weather_station_hourly_report_wind_speed,Vent,Wind
weather_station_hourly_report_wind_direction,Direction,Direction
weather_station_hourly_report_pressure,Pression,Pressure

credits_title,Crédits,Credits
credits_datasources_title,Sources des données,Data sources
credits_software_title,Logiciel,Software
credits_dataset,Jeu de données,Dataset
credits_production,Production,Production
credits_data_providers,Fournisseurs de données,Data providers
credits_open_source_softwares,Logiciels open-source,Open source softwares
credits_datasource,Source des données,Data sources
credits_provider,Fournisseur,Providers
credits_license,Licence,License

country_FR,France,France
